People,Lat,Lon
0,2.868614641,101.6733259
1,2.878382755,101.6075081
2,2.871754109,101.5995145
3,3.027363093,101.6525458
4,2.997368248,101.6260426
5,2.998981784,101.7509211
6,3.003245141,101.7019123
7,2.979979068,101.660042
8,2.974331525,101.6818742
9,2.924833297,101.6790292
10,2.930084895,101.6327967
11,2.905248705,101.6631038
12,2.865442095,101.7079675
13,2.870785449,101.6637841
14,2.923429615,101.6874772
15,2.933322428,101.6213325
16,2.969627046,101.7295281
17,2.964737083,101.6546251
18,3.011694219,101.6921315
19,2.994874964,101.5954257
20,2.875612524,101.7194121
21,2.979110964,101.6978832
22,2.875177924,101.710808
23,3.023215337,101.6596454
24,2.957880549,101.6741585
25,2.899978285,101.655758
26,2.903958771,101.7145541
27,2.97867389,101.6057349
28,2.884191793,101.7202739
29,2.880562195,101.6538193
30,2.899348157,101.6305405
31,2.876504445,101.6763956
32,2.91271759,101.6377641
33,2.965066031,101.7314187
34,3.033170406,101.6217648
35,2.876050299,101.6626296
36,2.98033245,101.6745695
37,2.98247053,101.6965303
38,3.025388535,101.7191234
39,3.041366842,101.6079071
40,2.89689959,101.6868165
41,2.998588255,101.6805767
42,2.98363794,101.7171344
43,2.875714068,101.7301453
44,2.966687839,101.7262137
45,2.997984921,101.7070492
46,2.926404646,101.633632
47,2.894036896,101.6365897
48,2.964561169,101.6494272
49,3.021570387,101.6850049
50,2.993935253,101.6821272
51,2.98352282,101.6893011
52,2.862087154,101.596109
53,2.930836973,101.6708952
54,2.957380967,101.6090424
55,2.924223156,101.6709885
56,2.925008123,101.6925791
57,3.03454652,101.6974087
58,2.859970918,101.5924488
59,2.963469126,101.6148565
60,2.865257637,101.7171849
61,2.852821273,101.6004931
62,3.017390739,101.6383098
63,2.987559618,101.6155999
64,2.984993821,101.7060503
65,2.951799048,101.7012394
66,2.928544762,101.6787552
67,2.937455499,101.7077072
68,2.936103262,101.6412754
69,2.983597561,101.7057251
70,2.857168144,101.6706011
71,2.914720655,101.5935446
72,3.003463254,101.6433701
73,3.001389961,101.6640431
74,2.948987518,101.7115368
75,2.863815612,101.6035069
76,2.913057189,101.6172668
77,2.889854969,101.5953391
78,3.031891737,101.6994091
79,3.040246291,101.6305032
80,2.991451718,101.6140631
81,2.960706882,101.6426445
82,2.943143056,101.6172424
83,3.013786659,101.7117871
84,2.943148971,101.6369307
85,2.856148418,101.6282596
86,2.874627311,101.7114194
87,2.970652378,101.7283474
88,2.972920273,101.6929083
89,2.859303854,101.6691371
90,2.993059956,101.7432907
91,2.982521775,101.6500929
92,2.970379065,101.7139199
93,2.976815649,101.7398043
94,2.926026782,101.6704816
95,3.0234592,101.6245811
96,2.952013919,101.6520346
97,3.014120997,101.7396237
98,2.95971952,101.6295908
99,3.029760514,101.7455889
100,3.02360532,101.7260749
101,2.994231496,101.6521158
102,2.882761393,101.6234598
103,3.03343074,101.5942719
104,2.992260179,101.7033595
105,2.879900462,101.6794258
106,3.015179199,101.6694189
107,3.029988111,101.6651746
108,2.931104796,101.6335977
109,2.97571426,101.7491483
110,3.033359024,101.6941265
111,2.940027313,101.7245782
112,2.980069138,101.7494598
113,2.920662051,101.6001567
114,2.952578034,101.7073652
115,3.002590751,101.5953667
116,2.87311001,101.6810844
117,2.990726511,101.6907638
118,2.877343404,101.7383294
119,2.970763083,101.6004515
120,2.989433523,101.6809564
121,2.918521107,101.5924667
122,2.895114598,101.647959
123,2.913327048,101.7058794
124,2.882211587,101.590094
125,2.857150493,101.7085671
126,3.041502093,101.6676055
127,2.935869088,101.6300785
128,3.015044589,101.7447801
129,2.97721324,101.7307617
130,2.992786114,101.6883771
131,2.881737304,101.5987101
132,3.009418403,101.6181987
133,2.978416475,101.7177997
134,3.035264983,101.6818647
135,3.034933366,101.6267909
136,2.901990546,101.616453
137,2.972062516,101.699498
138,3.014636774,101.6661926
139,2.996667897,101.6515025
140,3.034037205,101.6327202
141,3.010669233,101.73831
142,2.978758231,101.7153417
143,3.039372752,101.6197882
144,2.929835622,101.7073418
145,3.010899558,101.6973961
146,2.983105944,101.6114622
147,2.946602676,101.6230292
148,2.942971318,101.6731771
149,2.975063683,101.746341
150,2.927397317,101.6969178
151,2.909785347,101.652984
152,2.997767507,101.6603938
153,3.032314057,101.6141894
154,2.923547184,101.6816121
155,2.884134062,101.7033882
156,2.928684728,101.674537
157,3.026694146,101.7241569
158,2.91594653,101.7374146
159,3.017126162,101.6495407
160,3.001163973,101.717134
161,2.995048552,101.7500711
162,2.915622056,101.681886
163,2.913832492,101.6951365
164,2.996171812,101.7271207
165,2.93672645,101.6033538
166,2.954874708,101.7132667
167,2.878854903,101.6031464
168,2.911651604,101.7491461
169,2.994738181,101.6467964
170,3.006093273,101.6934385
171,2.920589705,101.6594406
172,2.977445838,101.7134897
173,2.960433093,101.7144501
174,2.927112725,101.6807126
175,2.947154435,101.6737978
176,3.017586624,101.6471912
177,2.927125114,101.6375998
178,2.881923078,101.7416629
179,2.951779094,101.7454661
180,2.988030477,101.6224816
181,3.024117532,101.6925399
182,3.031350882,101.6425329
183,2.918596875,101.708773
184,2.943027423,101.7496279
185,2.853779199,101.7298622
186,3.000612268,101.649109
187,3.007935945,101.6946998
188,2.919637139,101.6936219
189,2.942860786,101.6608016
190,2.868459441,101.5916204
191,2.9857583,101.7137673
192,2.981687248,101.6701033
